contrarian,growth_slash_value1,growth_slash_value2,momentum_strategy,p_slash_e,price_slash_sales,scorecard,small_cap_growth,symbol,value
21,0,69,75,0,40,"[0, 0, 75, 0, 76, 21, 69, 40]",76,fccy,0
29,25,23,50,0,50,"[0, 0, 50, 25, 29, 29, 23, 50]",29,pih,0
21,50,46,50,91,90,"[91, 29, 50, 50, 43, 21, 46, 90]",43,flws,29
29,40,77,68,0,40,"[0, 14, 68, 40, 73, 29, 77, 40]",73,srce,14
21,50,23,0,0,20,"[0, 29, 0, 50, 1, 21, 23, 20]",1,vnet,29
21,25,15,71,0,20,"[0, 29, 71, 25, 56, 21, 15, 20]",56,twou,29
contrarian,growth_slash_value1,growth_slash_value2,momentum_strategy,p_slash_e,price_slash_sales,scorecard,small_cap_growth,symbol,value
21,50,23,0,0,20,"[0, 29, 0, 50, 1, 21, 23, 20]",1,vnet,29
29,25,23,50,0,50,"[0, 0, 50, 25, 29, 29, 23, 50]",29,pih,0
21,25,15,71,0,20,"[0, 29, 71, 25, 56, 21, 15, 20]",56,twou,29
14,25,31,64,0,60,"[0, 43, 64, 25, 56, 14, 31, 60]",56,eght,43
56,100,31,18,0,50,"[0, 57, 18, 100, 59, 56, 31, 50]",59,avhi,57
29,40,77,68,0,40,"[0, 14, 68, 40, 73, 29, 77, 40]",73,srce,14
43,25,62,71,0,40,"[0, 57, 71, 25, 36, 43, 62, 40]",36,jobs,57
21,50,46,50,91,90,"[91, 29, 50, 50, 43, 21, 46, 90]",43,flws,29
,,,,,,,,,
21,0,69,75,0,40,"[0, 0, 75, 0, 76, 21, 69, 40]",76,fccy,0
contrarian,growth_slash_value1,growth_slash_value2,momentum_strategy,p_slash_e,price_slash_sales,scorecard,small_cap_growth,symbol,value
54,50,31,0,0,30,"[0, 14, 0, 50, 29, 54, 31, 30]",29,cafd,14
21,50,23,0,0,20,"[0, 29, 0, 50, 1, 21, 23, 20]",1,vnet,29
56,100,31,18,0,50,"[0, 57, 18, 100, 59, 56, 31, 50]",59,avhi,57
36,0,15,7,0,30,"[0, 0, 7, 0, 21, 36, 15, 30]",21,turn,0
43,25,62,71,0,40,"[0, 57, 71, 25, 36, 43, 62, 40]",36,jobs,57
21,50,46,50,91,90,"[91, 29, 50, 50, 43, 21, 46, 90]",43,flws,29
21,0,69,75,0,40,"[0, 0, 75, 0, 76, 21, 69, 40]",76,fccy,0
29,25,23,50,0,50,"[0, 0, 50, 25, 29, 29, 23, 50]",29,pih,0
29,40,77,68,0,40,"[0, 14, 68, 40, 73, 29, 77, 40]",73,srce,14
14,25,31,64,0,60,"[0, 43, 64, 25, 56, 14, 31, 60]",56,eght,43
21,25,15,71,0,20,"[0, 29, 71, 25, 56, 21, 15, 20]",56,twou,29
contrarian,growth_slash_value1,growth_slash_value2,momentum_strategy,p_slash_e,price_slash_sales,scorecard,small_cap_growth,symbol,value
29,25,23,50,0,50,"[0, 0, 50, 25, 29, 29, 23, 50]",29,pih,0
21,0,69,75,0,40,"[0, 0, 75, 0, 76, 21, 69, 40]",76,fccy,0
43,25,62,71,0,40,"[0, 57, 71, 25, 36, 43, 62, 40]",36,jobs,57
21,50,46,50,91,90,"[91, 29, 50, 50, 43, 21, 46, 90]",43,flws,29
56,100,31,18,0,50,"[0, 57, 18, 100, 59, 56, 31, 50]",59,avhi,57
29,40,77,68,0,40,"[0, 14, 68, 40, 73, 29, 77, 40]",73,srce,14
14,25,31,64,0,60,"[0, 43, 64, 25, 56, 14, 31, 60]",56,eght,43
21,50,23,0,0,20,"[0, 29, 0, 50, 1, 21, 23, 20]",1,vnet,29
21,25,15,71,0,20,"[0, 29, 71, 25, 56, 21, 15, 20]",56,twou,29
54,50,31,0,0,30,"[0, 14, 0, 50, 29, 54, 31, 30]",29,cafd,14
36,0,15,7,0,30,"[0, 0, 7, 0, 21, 36, 15, 30]",21,turn,0
